                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78326,                0.59928,                 1.1319,                 0.9903,                0.98273,                 0.9855,                0.81644,                  1.014,                0.64081,                 1.3348,               0.008878,               0.008878,               0.008878
                     37,                0.77667,                 0.5949,                 1.1362,                0.99093,                0.98284,                0.98594,                0.80945,                 1.0036,                 0.6403,                 1.3108,               0.008845,               0.008845,               0.008845
                     38,                0.77576,                0.59105,                 1.1303,                0.99106,                0.98308,                0.98585,                0.81629,                0.99475,                0.61972,                  1.306,               0.008812,               0.008812,               0.008812
                     39,                0.77997,                0.58635,                 1.1352,                0.98986,                0.98436,                0.98587,                0.80842,                 1.0103,                0.62753,                 1.3316,               0.008779,               0.008779,               0.008779
                     40,                0.77702,                0.59032,                 1.1326,                0.99157,                 0.9833,                0.98614,                0.81805,                0.98782,                0.62139,                 1.3031,               0.008746,               0.008746,               0.008746
                     41,                0.77716,                0.58728,                 1.1302,                 0.9904,                0.98258,                0.98536,                0.81644,                0.98966,                0.61775,                 1.2932,               0.008713,               0.008713,               0.008713
                     42,                0.77463,                0.58944,                 1.1381,                0.99073,                0.98429,                0.98601,                0.81866,                0.98737,                0.60121,                 1.3018,                0.00868,                0.00868,                0.00868
                     43,                0.77668,                0.57531,                 1.1295,                 0.9914,                0.98379,                0.98591,                0.82104,                0.98546,                0.61398,                 1.2973,               0.008647,               0.008647,               0.008647
                     44,                0.77526,                0.57601,                 1.1256,                0.99035,                0.98535,                0.98627,                0.82073,                0.99661,                0.60747,                 1.3316,               0.008614,               0.008614,               0.008614
                     45,                0.76646,                0.56109,                 1.1201,                0.99076,                0.98508,                0.98628,                0.82047,                0.97789,                0.59157,                 1.2871,               0.008581,               0.008581,               0.008581
                     46,                0.77037,                0.56967,                 1.1209,                0.99253,                0.98302,                0.98587,                0.82277,                0.98211,                0.60648,                 1.2825,               0.008548,               0.008548,               0.008548
                     47,                0.76771,                0.55943,                 1.1235,                0.99088,                0.98515,                0.98633,                0.82123,                0.97863,                0.59444,                 1.2882,               0.008515,               0.008515,               0.008515
                     48,                0.76457,                0.56186,                 1.1203,                0.99106,                0.98477,                0.98677,                0.82137,                0.98091,                0.58754,                 1.2777,               0.008482,               0.008482,               0.008482
                     49,                0.77141,                0.56059,                 1.1225,                 0.9911,                0.98519,                0.98672,                0.82377,                0.97222,                0.57724,                 1.2635,               0.008449,               0.008449,               0.008449
                     50,                0.76709,                0.55492,                   1.12,                0.99134,                0.98492,                0.98648,                0.82548,                0.96355,                0.58038,                 1.2646,               0.008416,               0.008416,               0.008416
                     51,                0.76665,                0.55388,                 1.1245,                0.99122,                0.98469,                0.98688,                0.82461,                0.96579,                0.56716,                 1.2624,               0.008383,               0.008383,               0.008383
                     52,                0.76157,                0.55047,                 1.1192,                0.99162,                0.98475,                0.98661,                0.82071,                 0.9768,                  0.576,                 1.2715,                0.00835,                0.00835,                0.00835
                     53,                0.75707,                0.54366,                 1.1143,                0.99275,                0.98397,                0.98642,                0.82709,                0.96677,                0.56602,                 1.2645,               0.008317,               0.008317,               0.008317
                     54,                0.75316,                0.53782,                 1.1099,                0.99115,                0.98588,                0.98657,                0.82696,                 0.9724,                0.56952,                 1.2665,               0.008284,               0.008284,               0.008284
