                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85884,                0.71463,                 1.1201,                 0.9818,                0.97738,                0.98363,                0.81369,                 1.0346,                0.67888,                 1.3183,             0.00018179,             0.00018179,             0.00018179
                     36,                0.84282,                0.69744,                 1.1085,                0.98791,                0.97896,                 0.9833,                0.81035,                 1.0376,                0.68225,                 1.3247,             0.00017912,             0.00017912,             0.00017912
                     37,                0.83432,                0.68831,                 1.1123,                0.98438,                0.98018,                 0.9834,                0.81406,                 1.0396,                0.68919,                 1.3213,             0.00017644,             0.00017644,             0.00017644
                     38,                0.83618,                0.68683,                 1.1092,                0.98566,                0.97672,                0.98297,                0.81437,                 1.0261,                  0.663,                 1.3255,             0.00017377,             0.00017377,             0.00017377
                     39,                0.83636,                0.67894,                 1.1086,                 0.9872,                0.97866,                0.98307,                0.81572,                 1.0225,                0.66649,                   1.31,              0.0001711,              0.0001711,              0.0001711
                     40,                0.83292,                0.67716,                 1.1079,                0.98922,                0.97741,                0.98336,                0.81524,                 1.0203,                0.67393,                 1.3221,             0.00016843,             0.00016843,             0.00016843
                     41,                0.83332,                0.67656,                 1.1062,                0.98463,                0.97935,                0.98358,                0.81317,                 1.0361,                0.66872,                 1.3169,             0.00016575,             0.00016575,             0.00016575
                     42,                  0.828,                0.67476,                 1.1119,                0.98783,                0.97796,                0.98402,                0.81609,                 1.0212,                0.65201,                 1.3194,             0.00016308,             0.00016308,             0.00016308
                     43,                0.83393,                0.66071,                 1.1039,                0.98616,                0.98029,                0.98416,                0.81816,                 1.0208,                0.65334,                 1.3008,             0.00016041,             0.00016041,             0.00016041
                     44,                0.82847,                0.65731,                 1.0983,                0.98835,                0.98327,                0.98478,                0.81672,                  1.015,                0.64212,                 1.2956,             0.00015773,             0.00015773,             0.00015773
                     45,                0.81852,                0.63835,                 1.0889,                0.98773,                0.98163,                0.98449,                0.81613,                  1.021,                 0.6378,                 1.3093,             0.00015506,             0.00015506,             0.00015506
